Platzierung,Platzierung,Titel,Interpret,VÖ-Datum,Anmerkungen,Label
2010,2004,Titel,Interpret,VÖ-Datum,Anmerkungen,Label
1,1,Like a Rolling Stone,Bob Dylan,1965/07,Autor: Bob DylanProduzent: Tom Wilson,Columbia
2,2,(I Can’t Get No) Satisfaction,The Rolling Stones,1965/05,"Autoren: Mick Jagger, Keith RichardsProduzent: Andrew Loog Oldham",London
3,3,Imagine,John Lennon,1971/10,"Autor und Produzent: John LennonProduzenten: Phil Spector, Yoko Ono",Apple
4,4,What’s Going On,Marvin Gaye,1971/02,"Autor und Produzent: Marvin GayeAutoren: Renaldo Benson, Al Cleveland",Tamla
5,5,Respect,Aretha Franklin,1967/04,Autor: Otis ReddingProduzent: Jerry Wexler,Atlantic
6,6,Good Vibrations,The Beach Boys,1966/10,"Autoren: Brian Wilson, Mike LoveProduzent: Brian Wilson",Capitol
7,7,Johnny B. Goode,Chuck Berry,1958/04,"Autor: Chuck BerryProduzenten: Leonard Chess, Phil Chess",Chess
8,8,Hey Jude,The Beatles,1968/08,"Autoren: John Lennon, Paul McCartneyProduzent: George Martin",Apple
9,9,Smells Like Teen Spirit,Nirvana,1991/09,Autor: Kurt CobainProduzent: Butch Vig,DGC
10,10,What’d I Say,Ray Charles,1959/06,"Autor: Ray CharlesProduzenten: Ahmet Ertegün, Jerry Wexler",Atlantic
11,11,My Generation,The Who,1965/11,Autor: Pete TownshendProduzent: Shel Talmy,Decca
12,12,A Change Is Gonna Come,Sam Cooke,1964/12,"Autor: Sam CookeProduzenten: Hugo Peretti, Luigi Creatore",RCA
13,13,Yesterday,The Beatles,1965/09,"Autoren: John Lennon, Paul McCartneyProduzent George Martin",Capitol
14,14,Blowin’ in the Wind,Bob Dylan,1963/05,Autor: Bob DylanProduzent: John Hammond,Columbia
15,15,London Calling,The Clash,1980/01,"Autoren: Mick Jones, Joe StrummerProduzent: Guy Stevens",Epic
16,16,I Want to Hold Your Hand,The Beatles,1963/12,"Autoren: John Lennon, Paul McCartneyProduzent George Martin",Capitol
17,17,Purple Haze,The Jimi Hendrix Experience,1967/03,Autor: Jimi HendrixProduzent: Chas Chandler,Reprise
18,18,Maybellene,Chuck Berry,1955/07,"Autor: Chuck BerryProduzenten: Leonard Chess, Phil Chess",Chess
19,19,Hound Dog,Elvis Presley,1956/07,"Autoren: Jerry Leiber, Mike StollerProduzent: Steve Sholes",RCA
20,20,Let It Be,The Beatles,1970/03,"Autoren: John Lennon, Paul McCartneyProduzent George Martin",Capitol
21,21,Born to Run,Bruce Springsteen,1975/08,Autor und Produzent: Bruce SpringsteenProduzent: Mike Appel,Columbia
22,22,Be My Baby,The Ronettes,1963/08,"Autoren: Jeff Barry, Ellie GreenwichAutor und Produzent: Phil Spector",Philles
23,23,In My Life,The Beatles,1965/12,"Autoren: John Lennon, Paul McCartneyProduzent George Martin",Capitol
24,24,People Get Ready,The Impressions,1965/01,Autor: Curtis Mayfield Produzent: Johnny Pate,ABC-Paramount
25,25,God Only Knows,The Beach Boys,1966/05,"Autoren: Brian Wilson, Tony AsherProduzent: Brian Wilson",Capitol
